function	gene	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25
Ribo	YGL030W	-2.46131 - -1.87322	-3.07807 - -1.98319	-3.45235 - -1.95551	-1.99724 - -1.00746	0.951233 - 1.6518	0.370891 - 0.917994	-1.91176 - -0.988662	-1.02478 - -0.659428	< -1.5339	0.524465 - 0.878362	-0.771468 - -0.451247	0.528452 - 0.805687	0.459517 - 0.777881	-0.451344 - -0.24542	-0.0530638 - 0.15896	-0.282942 - -0.067954	0.561059 - 1.01778	-1.06673 - -0.629906	0.0936803 - 0.267107	0.326032 - 0.528279	-0.947849 - -0.587246	≥ 0.87368	0.519875 - 0.771311	-0.0669247 - 0.0601571	0.573122 - 0.893637
Ribo	YLR367W	-2.84061 - -2.46131	-1.98319 - -1.55052	-0.382426 - 0.125754	-1.00746 - -0.433048	1.6518 - 2.25045	-1.62041 - -0.904866	≥ 2.10432	-0.659428 - -0.235078	-1.5339 - -1.00963	-0.24581 - -0.0742138	-0.771468 - -0.451247	0.805687 - 1.34529	< -1.13556	< -1.22843	≥ 1.0854	-1.16585 - -0.762285	-1.00002 - -0.622271	< -1.06673	-0.0444716 - 0.0936803	≥ 0.935366	0.198076 - 0.386712	0.0525043 - 0.207664	0.519875 - 0.771311	0.529312 - 0.846813	-0.371889 - -0.206293
Ribo	YPL090C	-2.84061 - -2.46131	-3.07807 - -1.98319	-0.382426 - 0.125754	1.8757 - 2.71596	0.116722 - 0.575969	-0.333751 - -0.0670098	1.14374 - 2.10432	0.888346 - 1.53479	-0.103436 - 0.141737	-0.869533 - -0.573237	0.812305 - 1.27537	-0.794636 - -0.476743	-0.128749 - 0.200137	0.270683 - 0.489747	-0.0530638 - 0.15896	0.40824 - 0.678926	0.138608 - 0.372761	-0.33811 - -0.1104	-0.0444716 - 0.0936803	-0.0953163 - 0.0342379	-0.587246 - -0.308823	≥ 0.87368	0.160593 - 0.351944	0.0601571 - 0.294794	-0.206293 - 0.0027569
Ribo	YPL081W	-2.46131 - -1.87322	-3.07807 - -1.98319	-1.95551 - -1.12887	-2.93219 - -1.99724	0.575969 - 0.951233	0.917994 - 1.41578	-0.0921005 - 0.253326	-0.235078 - -0.0103348	1.00217 - 1.56225	-0.24581 - -0.0742138	0.303004 - 0.524226	-0.794636 - -0.476743	0.200137 - 0.459517	-0.451344 - -0.24542	0.33614 - 0.707889	0.166896 - 0.40824	< -1.00002	≥ 1.0153	-0.0444716 - 0.0936803	0.177247 - 0.326032	-0.308823 - -0.0792995	0.283336 - 0.477439	-0.949145 - -0.448052	< -0.872897	-0.557685 - -0.371889
Ribo	YGL076C	-3.10837 - -2.84061	-1.55052 - -0.789981	-0.382426 - 0.125754	0.0172426 - 0.531467	0.575969 - 0.951233	0.917994 - 1.41578	-1.91176 - -0.988662	0.888346 - 1.53479	-1.00963 - -0.67939	-0.0742138 - 0.215548	0.0567379 - 0.303004	-0.476743 - -0.1735	-0.496845 - -0.347348	-0.0386652 - 0.270683	-0.228786 - -0.0530638	≥ 1.23123	0.138608 - 0.372761	0.0347436 - 0.17113	-0.620673 - -0.37434	0.326032 - 0.528279	-0.308823 - -0.0792995	0.0525043 - 0.207664	-0.296289 - -0.128279	-0.872897 - -0.527216	≥ 0.893637
Ribo	YBR084C-A	-2.84061 - -2.46131	-0.789981 - -0.323711	-1.12887 - -0.382426	0.531467 - 1.22558	< -2.60633	-0.904866 - -0.333751	-0.0921005 - 0.253326	0.888346 - 1.53479	-0.103436 - 0.141737	0.878362 - 1.45871	0.812305 - 1.27537	0.805687 - 1.34529	-0.496845 - -0.347348	0.669964 - 1.12356	< -1.10289	-1.16585 - -0.762285	0.561059 - 1.01778	0.0347436 - 0.17113	-0.886108 - -0.620673	-0.309045 - -0.0953163	0.198076 - 0.386712	≥ 0.87368	-0.128279 - 0.0549996	< -0.872897	0.36998 - 0.573122
Ribo	YBL027W	-3.55524 - -3.10837	-1.55052 - -0.789981	0.125754 - 0.608969	0.531467 - 1.22558	-2.60633 - -1.6315	-0.0670098 - 0.370891	-0.0921005 - 0.253326	0.888346 - 1.53479	0.141737 - 0.492027	0.524465 - 0.878362	0.524226 - 0.812305	0.528452 - 0.805687	0.459517 - 0.777881	-0.0386652 - 0.270683	-1.10289 - -0.777968	< -1.16585	0.372761 - 0.561059	-0.33811 - -0.1104	-0.886108 - -0.620673	-0.309045 - -0.0953163	-0.308823 - -0.0792995	0.0525043 - 0.207664	-0.448052 - -0.296289	< -0.872897	0.36998 - 0.573122
Ribo	YJL136C	-1.87322 - 2.96362	-3.07807 - -1.98319	-3.45235 - -1.95551	0.0172426 - 0.531467	-1.6315 - -1.2472	-0.904866 - -0.333751	1.14374 - 2.10432	-0.235078 - -0.0103348	-0.333791 - -0.103436	0.215548 - 0.524465	-1.20377 - -0.771468	-0.794636 - -0.476743	-1.13556 - -0.802946	-0.451344 - -0.24542	0.33614 - 0.707889	-0.444354 - -0.282942	≥ 1.01778	< -1.06673	-0.886108 - -0.620673	0.528279 - 0.935366	-0.308823 - -0.0792995	0.207664 - 0.283336	0.351944 - 0.519875	< -0.872897	0.573122 - 0.893637
Ribo	YKR057W	-2.46131 - -1.87322	-1.98319 - -1.55052	-1.95551 - -1.12887	1.22558 - 1.8757	< -2.60633	-0.904866 - -0.333751	-0.669729 - -0.327772	-0.659428 - -0.235078	-1.00963 - -0.67939	0.524465 - 0.878362	0.0567379 - 0.303004	-0.794636 - -0.476743	-0.496845 - -0.347348	0.489747 - 0.669964	0.33614 - 0.707889	0.40824 - 0.678926	0.138608 - 0.372761	-0.629906 - -0.33811	0.0936803 - 0.267107	-0.309045 - -0.0953163	-0.587246 - -0.308823	0.0525043 - 0.207664	0.351944 - 0.519875	-0.0669247 - 0.0601571	-0.371889 - -0.206293
Ribo	YLR185W	-2.46131 - -1.87322	-1.98319 - -1.55052	-1.95551 - -1.12887	-1.99724 - -1.00746	-2.60633 - -1.6315	1.41578 - 2.1255	1.14374 - 2.10432	-1.70937 - -1.02478	0.141737 - 0.492027	0.524465 - 0.878362	-0.164623 - 0.0567379	-0.794636 - -0.476743	-0.802946 - -0.496845	0.669964 - 1.12356	≥ 1.0854	-0.282942 - -0.067954	-0.174611 - -0.0273938	0.17113 - 0.367606	-0.37434 - -0.193563	0.326032 - 0.528279	0.0432133 - 0.198076	-0.383712 - -0.147248	-0.448052 - -0.296289	0.0601571 - 0.294794	-0.557685 - -0.371889
Ribo	YER074W	-3.10837 - -2.84061	-1.55052 - -0.789981	-1.12887 - -0.382426	1.22558 - 1.8757	-1.6315 - -1.2472	-2.3691 - -1.62041	-0.669729 - -0.327772	-0.0103348 - 0.237892	-1.5339 - -1.00963	0.878362 - 1.45871	0.812305 - 1.27537	0.308063 - 0.528452	-0.496845 - -0.347348	0.669964 - 1.12356	0.15896 - 0.33614	0.678926 - 1.23123	-0.174611 - -0.0273938	-0.1104 - 0.0347436	-0.193563 - -0.0444716	0.177247 - 0.326032	0.198076 - 0.386712	-0.147248 - 0.0525043	0.351944 - 0.519875	-0.527216 - -0.31183	-0.371889 - -0.206293
Ribo	YOR096W	-3.55524 - -3.10837	-0.789981 - -0.323711	0.608969 - 1.1829	0.531467 - 1.22558	-0.437616 - 0.116722	-0.904866 - -0.333751	-0.0921005 - 0.253326	-0.659428 - -0.235078	< -1.5339	0.215548 - 0.524465	0.303004 - 0.524226	-0.1735 - 0.0512376	0.200137 - 0.459517	-0.24542 - -0.0386652	-0.777968 - -0.425273	0.678926 - 1.23123	-0.622271 - -0.405256	-0.1104 - 0.0347436	0.527055 - 0.984347	0.0342379 - 0.177247	-0.0792995 - 0.0432133	-0.613833 - -0.383712	0.351944 - 0.519875	0.529312 - 0.846813	0.0027569 - 0.186317
Ribo	YPL198W	-3.55524 - -3.10837	-1.55052 - -0.789981	-1.12887 - -0.382426	-0.433048 - 0.0172426	-0.437616 - 0.116722	0.917994 - 1.41578	-0.988662 - -0.669729	0.237892 - 0.498102	-0.67939 - -0.333791	-0.0742138 - 0.215548	-0.451247 - -0.164623	0.0512376 - 0.308063	-0.347348 - -0.128749	-0.0386652 - 0.270683	-0.228786 - -0.0530638	-0.282942 - -0.067954	-0.0273938 - 0.138608	0.0347436 - 0.17113	-0.886108 - -0.620673	0.326032 - 0.528279	< -0.947849	0.0525043 - 0.207664	-0.448052 - -0.296289	-0.31183 - -0.183446	0.0027569 - 0.186317
Ribo	YLR448W	-3.10837 - -2.84061	-3.07807 - -1.98319	-1.95551 - -1.12887	1.22558 - 1.8757	-1.6315 - -1.2472	1.41578 - 2.1255	-0.327772 - -0.0921005	0.237892 - 0.498102	-0.67939 - -0.333791	0.215548 - 0.524465	0.0567379 - 0.303004	0.0512376 - 0.308063	< -1.13556	0.669964 - 1.12356	0.15896 - 0.33614	0.40824 - 0.678926	0.372761 - 0.561059	0.588167 - 1.0153	-0.886108 - -0.620673	≥ 0.935366	-0.0792995 - 0.0432133	< -0.900182	< -0.949145	-0.527216 - -0.31183	-0.371889 - -0.206293
Ribo	YOR234C	-2.84061 - -2.46131	-3.07807 - -1.98319	-3.45235 - -1.95551	-0.433048 - 0.0172426	-1.6315 - -1.2472	0.370891 - 0.917994	-1.91176 - -0.988662	-0.235078 - -0.0103348	-0.67939 - -0.333791	-0.24581 - -0.0742138	-0.451247 - -0.164623	0.528452 - 0.805687	-0.802946 - -0.496845	≥ 1.12356	-0.228786 - -0.0530638	-1.16585 - -0.762285	0.372761 - 0.561059	0.0347436 - 0.17113	-0.620673 - -0.37434	-0.0953163 - 0.0342379	0.549829 - 0.781302	-0.900182 - -0.613833	-0.949145 - -0.448052	-0.31183 - -0.183446	-0.557685 - -0.371889
Ribo	YNL178W	-2.46131 - -1.87322	-0.789981 - -0.323711	-1.12887 - -0.382426	0.0172426 - 0.531467	-1.2472 - -0.437616	-0.0670098 - 0.370891	-0.327772 - -0.0921005	0.498102 - 0.888346	-0.333791 - -0.103436	-0.573237 - -0.24581	0.812305 - 1.27537	-0.476743 - -0.1735	-1.13556 - -0.802946	-0.451344 - -0.24542	-0.425273 - -0.228786	0.40824 - 0.678926	-0.405256 - -0.174611	0.17113 - 0.367606	-0.620673 - -0.37434	-0.537477 - -0.309045	≥ 0.781302	0.207664 - 0.283336	0.519875 - 0.771311	-0.31183 - -0.183446	-0.206293 - 0.0027569
Ribo	YBR181C	-2.84061 - -2.46131	-1.55052 - -0.789981	-1.12887 - -0.382426	0.0172426 - 0.531467	-1.2472 - -0.437616	0.370891 - 0.917994	1.14374 - 2.10432	0.888346 - 1.53479	1.00217 - 1.56225	0.524465 - 0.878362	0.524226 - 0.812305	-0.476743 - -0.1735	0.200137 - 0.459517	0.489747 - 0.669964	-0.777968 - -0.425273	0.166896 - 0.40824	-0.0273938 - 0.138608	-1.06673 - -0.629906	-0.620673 - -0.37434	-0.0953163 - 0.0342379	-0.0792995 - 0.0432133	0.283336 - 0.477439	0.351944 - 0.519875	-0.31183 - -0.183446	-0.371889 - -0.206293
Ribo	YOL121C	-2.84061 - -2.46131	-0.323711 - 0.352621	-1.12887 - -0.382426	0.0172426 - 0.531467	-1.2472 - -0.437616	0.917994 - 1.41578	0.559976 - 1.14374	-0.0103348 - 0.237892	-0.103436 - 0.141737	-0.0742138 - 0.215548	0.812305 - 1.27537	-0.476743 - -0.1735	-1.13556 - -0.802946	0.489747 - 0.669964	-0.228786 - -0.0530638	0.166896 - 0.40824	0.138608 - 0.372761	0.17113 - 0.367606	-0.620673 - -0.37434	0.177247 - 0.326032	0.549829 - 0.781302	-0.613833 - -0.383712	-0.949145 - -0.448052	-0.0669247 - 0.0601571	0.186317 - 0.36998
Ribo	YLL045C	-3.10837 - -2.84061	0.352621 - 1.22464	-0.382426 - 0.125754	1.22558 - 1.8757	-1.2472 - -0.437616	0.370891 - 0.917994	-0.327772 - -0.0921005	0.888346 - 1.53479	-0.103436 - 0.141737	-0.573237 - -0.24581	-0.771468 - -0.451247	0.0512376 - 0.308063	-0.802946 - -0.496845	-0.0386652 - 0.270683	-0.425273 - -0.228786	-0.067954 - 0.166896	-1.00002 - -0.622271	≥ 1.0153	0.0936803 - 0.267107	-0.0953163 - 0.0342379	0.386712 - 0.549829	0.0525043 - 0.207664	0.351944 - 0.519875	-0.31183 - -0.183446	-0.206293 - 0.0027569
Ribo	YGR214W	-2.84061 - -2.46131	-1.55052 - -0.789981	-0.382426 - 0.125754	0.531467 - 1.22558	0.951233 - 1.6518	≥ 2.1255	1.14374 - 2.10432	-1.02478 - -0.659428	-0.333791 - -0.103436	-0.0742138 - 0.215548	-0.451247 - -0.164623	-0.1735 - 0.0512376	-0.496845 - -0.347348	0.270683 - 0.489747	-0.228786 - -0.0530638	0.40824 - 0.678926	-0.405256 - -0.174611	0.17113 - 0.367606	0.0936803 - 0.267107	0.177247 - 0.326032	-0.0792995 - 0.0432133	-0.147248 - 0.0525043	-0.128279 - 0.0549996	-0.31183 - -0.183446	-0.371889 - -0.206293
Ribo	YLR048W	-3.10837 - -2.84061	0.352621 - 1.22464	0.608969 - 1.1829	≥ 2.71596	0.575969 - 0.951233	0.370891 - 0.917994	-0.327772 - -0.0921005	-0.235078 - -0.0103348	-1.5339 - -1.00963	0.524465 - 0.878362	-0.164623 - 0.0567379	≥ 1.34529	-0.347348 - -0.128749	0.489747 - 0.669964	-0.425273 - -0.228786	-0.067954 - 0.166896	0.561059 - 1.01778	0.17113 - 0.367606	0.267107 - 0.527055	0.326032 - 0.528279	-0.0792995 - 0.0432133	-0.383712 - -0.147248	-0.296289 - -0.128279	-0.527216 - -0.31183	-0.869476 - -0.557685
Ribo	YNL301C	-2.84061 - -2.46131	-0.789981 - -0.323711	-1.12887 - -0.382426	1.8757 - 2.71596	-0.437616 - 0.116722	0.917994 - 1.41578	-0.669729 - -0.327772	-0.0103348 - 0.237892	-1.5339 - -1.00963	0.215548 - 0.524465	-0.771468 - -0.451247	0.308063 - 0.528452	-1.13556 - -0.802946	-0.24542 - -0.0386652	-0.0530638 - 0.15896	≥ 1.23123	-0.174611 - -0.0273938	-0.33811 - -0.1104	0.527055 - 0.984347	0.528279 - 0.935366	-0.308823 - -0.0792995	-0.900182 - -0.613833	-0.128279 - 0.0549996	0.529312 - 0.846813	0.186317 - 0.36998
Ribo	YJR145C	-3.84266 - -3.55524	-0.323711 - 0.352621	0.125754 - 0.608969	0.0172426 - 0.531467	0.575969 - 0.951233	0.370891 - 0.917994	-0.988662 - -0.669729	≥ 1.53479	0.492027 - 1.00217	< -1.59043	0.812305 - 1.27537	-0.1735 - 0.0512376	-0.802946 - -0.496845	-0.0386652 - 0.270683	< -1.10289	-0.762285 - -0.444354	-0.405256 - -0.174611	-0.33811 - -0.1104	-0.886108 - -0.620673	0.177247 - 0.326032	0.198076 - 0.386712	-0.383712 - -0.147248	0.0549996 - 0.160593	0.529312 - 0.846813	< -0.869476
Ribo	YHR203C	-2.84061 - -2.46131	-0.323711 - 0.352621	-1.12887 - -0.382426	0.531467 - 1.22558	-0.437616 - 0.116722	1.41578 - 2.1255	0.559976 - 1.14374	0.237892 - 0.498102	-1.00963 - -0.67939	-0.0742138 - 0.215548	0.524226 - 0.812305	-0.1735 - 0.0512376	-1.13556 - -0.802946	-0.451344 - -0.24542	-1.10289 - -0.777968	-0.762285 - -0.444354	0.561059 - 1.01778	0.17113 - 0.367606	-0.620673 - -0.37434	0.0342379 - 0.177247	0.198076 - 0.386712	0.283336 - 0.477439	0.160593 - 0.351944	0.0601571 - 0.294794	< -0.869476
Ribo	YJR123W	-3.10837 - -2.84061	-1.55052 - -0.789981	0.608969 - 1.1829	0.0172426 - 0.531467	0.951233 - 1.6518	0.370891 - 0.917994	0.559976 - 1.14374	0.888346 - 1.53479	-0.103436 - 0.141737	< -1.59043	-0.164623 - 0.0567379	-0.794636 - -0.476743	-0.128749 - 0.200137	0.270683 - 0.489747	-0.425273 - -0.228786	-0.444354 - -0.282942	-0.174611 - -0.0273938	-0.629906 - -0.33811	-0.0444716 - 0.0936803	0.528279 - 0.935366	≥ 0.781302	-0.383712 - -0.147248	-0.128279 - 0.0549996	-0.31183 - -0.183446	-0.869476 - -0.557685
Ribo	YJL177W	-3.55524 - -3.10837	-0.323711 - 0.352621	0.608969 - 1.1829	-0.433048 - 0.0172426	0.951233 - 1.6518	0.917994 - 1.41578	-0.327772 - -0.0921005	0.237892 - 0.498102	-1.00963 - -0.67939	-0.573237 - -0.24581	0.524226 - 0.812305	0.528452 - 0.805687	-0.802946 - -0.496845	-0.0386652 - 0.270683	-0.228786 - -0.0530638	-0.762285 - -0.444354	0.138608 - 0.372761	-0.1104 - 0.0347436	-0.193563 - -0.0444716	0.528279 - 0.935366	0.549829 - 0.781302	-0.383712 - -0.147248	-0.949145 - -0.448052	0.294794 - 0.529312	-0.206293 - 0.0027569
Ribo	YOL040C	-3.10837 - -2.84061	1.22464 - 2.27225	-0.382426 - 0.125754	-1.00746 - -0.433048	0.575969 - 0.951233	1.41578 - 2.1255	-0.988662 - -0.669729	-0.235078 - -0.0103348	-0.333791 - -0.103436	-0.869533 - -0.573237	-0.164623 - 0.0567379	-0.1735 - 0.0512376	-0.802946 - -0.496845	-0.451344 - -0.24542	0.707889 - 1.0854	0.166896 - 0.40824	-0.174611 - -0.0273938	0.367606 - 0.588167	-0.37434 - -0.193563	0.326032 - 0.528279	-0.587246 - -0.308823	-0.613833 - -0.383712	0.0549996 - 0.160593	-0.183446 - -0.0669247	< -0.869476
Ribo	YDR418W	-3.55524 - -3.10837	2.27225 - 4.31204	0.125754 - 0.608969	0.531467 - 1.22558	0.116722 - 0.575969	1.41578 - 2.1255	-1.91176 - -0.988662	0.237892 - 0.498102	0.141737 - 0.492027	-1.59043 - -0.869533	0.303004 - 0.524226	0.308063 - 0.528452	< -1.13556	-0.0386652 - 0.270683	-0.0530638 - 0.15896	-0.282942 - -0.067954	0.372761 - 0.561059	-0.1104 - 0.0347436	-0.37434 - -0.193563	-1.01567 - -0.537477	0.0432133 - 0.198076	-0.383712 - -0.147248	0.351944 - 0.519875	0.294794 - 0.529312	-0.206293 - 0.0027569
Ribo	YNL069C	-3.10837 - -2.84061	-0.323711 - 0.352621	-1.95551 - -1.12887	0.0172426 - 0.531467	1.6518 - 2.25045	0.917994 - 1.41578	-0.327772 - -0.0921005	-0.0103348 - 0.237892	-0.333791 - -0.103436	-0.869533 - -0.573237	0.524226 - 0.812305	0.528452 - 0.805687	-0.347348 - -0.128749	-0.0386652 - 0.270683	-1.10289 - -0.777968	0.166896 - 0.40824	-0.0273938 - 0.138608	-0.1104 - 0.0347436	0.527055 - 0.984347	0.0342379 - 0.177247	-0.947849 - -0.587246	-0.147248 - 0.0525043	0.0549996 - 0.160593	-0.872897 - -0.527216	-0.371889 - -0.206293
Ribo	YPL131W	-2.46131 - -1.87322	-1.98319 - -1.55052	-1.95551 - -1.12887	0.0172426 - 0.531467	0.951233 - 1.6518	1.41578 - 2.1255	-0.0921005 - 0.253326	0.498102 - 0.888346	0.492027 - 1.00217	0.215548 - 0.524465	0.0567379 - 0.303004	-0.1735 - 0.0512376	-1.13556 - -0.802946	-0.24542 - -0.0386652	-0.228786 - -0.0530638	0.166896 - 0.40824	-1.00002 - -0.622271	0.588167 - 1.0153	0.0936803 - 0.267107	-0.537477 - -0.309045	0.0432133 - 0.198076	-0.613833 - -0.383712	≥ 0.771311	-0.527216 - -0.31183	-0.557685 - -0.371889
Ribo	YIL018W	-3.10837 - -2.84061	-0.323711 - 0.352621	-0.382426 - 0.125754	1.22558 - 1.8757	1.6518 - 2.25045	0.370891 - 0.917994	-0.0921005 - 0.253326	0.498102 - 0.888346	< -1.5339	0.524465 - 0.878362	0.0567379 - 0.303004	-0.1735 - 0.0512376	-0.347348 - -0.128749	0.270683 - 0.489747	-0.425273 - -0.228786	0.40824 - 0.678926	-0.405256 - -0.174611	0.0347436 - 0.17113	-0.620673 - -0.37434	0.177247 - 0.326032	0.0432133 - 0.198076	-0.383712 - -0.147248	-0.949145 - -0.448052	-0.527216 - -0.31183	0.573122 - 0.893637
Ribo	YHL015W	-3.55524 - -3.10837	1.22464 - 2.27225	0.608969 - 1.1829	-1.00746 - -0.433048	-0.437616 - 0.116722	1.41578 - 2.1255	-0.0921005 - 0.253326	0.237892 - 0.498102	0.492027 - 1.00217	-1.59043 - -0.869533	0.524226 - 0.812305	0.0512376 - 0.308063	-1.13556 - -0.802946	0.270683 - 0.489747	-0.0530638 - 0.15896	-1.16585 - -0.762285	0.138608 - 0.372761	0.0347436 - 0.17113	-0.886108 - -0.620673	0.0342379 - 0.177247	0.198076 - 0.386712	0.207664 - 0.283336	0.0549996 - 0.160593	-0.527216 - -0.31183	-0.557685 - -0.371889
Ribo	YIL133C	-3.55524 - -3.10837	-1.55052 - -0.789981	0.125754 - 0.608969	-2.93219 - -1.99724	1.6518 - 2.25045	1.41578 - 2.1255	1.14374 - 2.10432	-0.659428 - -0.235078	-0.67939 - -0.333791	0.524465 - 0.878362	-0.164623 - 0.0567379	0.528452 - 0.805687	0.200137 - 0.459517	0.669964 - 1.12356	0.707889 - 1.0854	-0.067954 - 0.166896	-0.0273938 - 0.138608	0.367606 - 0.588167	0.267107 - 0.527055	0.326032 - 0.528279	-0.308823 - -0.0792995	-0.147248 - 0.0525043	-0.448052 - -0.296289	-0.527216 - -0.31183	-0.557685 - -0.371889
Ribo	YER131W	-3.84266 - -3.55524	2.27225 - 4.31204	1.1829 - 1.82932	-0.433048 - 0.0172426	-1.2472 - -0.437616	-0.333751 - -0.0670098	-0.0921005 - 0.253326	-0.0103348 - 0.237892	0.141737 - 0.492027	-0.869533 - -0.573237	≥ 1.27537	-0.476743 - -0.1735	-0.496845 - -0.347348	-0.0386652 - 0.270683	-0.777968 - -0.425273	-0.444354 - -0.282942	0.138608 - 0.372761	-0.629906 - -0.33811	-0.620673 - -0.37434	0.177247 - 0.326032	-0.308823 - -0.0792995	-0.147248 - 0.0525043	0.351944 - 0.519875	0.0601571 - 0.294794	≥ 0.893637
Ribo	YGL189C	-3.84266 - -3.55524	2.27225 - 4.31204	0.125754 - 0.608969	-2.93219 - -1.99724	-1.2472 - -0.437616	-0.333751 - -0.0670098	-0.327772 - -0.0921005	-0.235078 - -0.0103348	1.00217 - 1.56225	-1.59043 - -0.869533	0.812305 - 1.27537	0.0512376 - 0.308063	-1.13556 - -0.802946	-0.451344 - -0.24542	0.33614 - 0.707889	-0.762285 - -0.444354	-0.0273938 - 0.138608	-0.1104 - 0.0347436	-0.620673 - -0.37434	0.0342379 - 0.177247	0.198076 - 0.386712	-0.147248 - 0.0525043	0.351944 - 0.519875	0.294794 - 0.529312	0.573122 - 0.893637
Ribo	YGR085C	-3.84266 - -3.55524	2.27225 - 4.31204	1.1829 - 1.82932	-1.00746 - -0.433048	-2.60633 - -1.6315	-1.62041 - -0.904866	-0.669729 - -0.327772	0.888346 - 1.53479	0.492027 - 1.00217	-0.0742138 - 0.215548	0.524226 - 0.812305	0.805687 - 1.34529	-0.496845 - -0.347348	0.669964 - 1.12356	-0.0530638 - 0.15896	-0.762285 - -0.444354	-0.174611 - -0.0273938	0.367606 - 0.588167	0.527055 - 0.984347	-0.537477 - -0.309045	0.386712 - 0.549829	0.0525043 - 0.207664	0.0549996 - 0.160593	0.0601571 - 0.294794	-0.206293 - 0.0027569
Ribo	YPR102C	-3.84266 - -3.55524	1.22464 - 2.27225	0.125754 - 0.608969	-2.93219 - -1.99724	-0.437616 - 0.116722	-0.333751 - -0.0670098	-0.0921005 - 0.253326	-0.0103348 - 0.237892	0.141737 - 0.492027	-0.573237 - -0.24581	0.812305 - 1.27537	0.308063 - 0.528452	-0.347348 - -0.128749	-0.451344 - -0.24542	0.33614 - 0.707889	< -1.16585	0.138608 - 0.372761	0.588167 - 1.0153	-0.0444716 - 0.0936803	-1.01567 - -0.537477	-0.0792995 - 0.0432133	0.0525043 - 0.207664	0.0549996 - 0.160593	0.294794 - 0.529312	-0.371889 - -0.206293
Ribo	YIL052C	-3.84266 - -3.55524	1.22464 - 2.27225	0.608969 - 1.1829	-0.433048 - 0.0172426	-1.2472 - -0.437616	-1.62041 - -0.904866	-0.327772 - -0.0921005	-0.0103348 - 0.237892	-0.333791 - -0.103436	-0.0742138 - 0.215548	0.524226 - 0.812305	-0.476743 - -0.1735	-0.496845 - -0.347348	-0.24542 - -0.0386652	-0.0530638 - 0.15896	0.40824 - 0.678926	-0.622271 - -0.405256	0.367606 - 0.588167	-0.886108 - -0.620673	-0.309045 - -0.0953163	0.198076 - 0.386712	-0.383712 - -0.147248	-0.128279 - 0.0549996	-0.31183 - -0.183446	0.36998 - 0.573122
Ribo	YPR132W	-2.84061 - -2.46131	-1.55052 - -0.789981	-1.12887 - -0.382426	-2.93219 - -1.99724	-1.6315 - -1.2472	-0.333751 - -0.0670098	≥ 2.10432	-1.02478 - -0.659428	-0.103436 - 0.141737	-0.0742138 - 0.215548	≥ 1.27537	-0.476743 - -0.1735	0.200137 - 0.459517	0.489747 - 0.669964	0.707889 - 1.0854	-0.067954 - 0.166896	-1.00002 - -0.622271	-0.1104 - 0.0347436	-0.0444716 - 0.0936803	-0.309045 - -0.0953163	-0.587246 - -0.308823	0.207664 - 0.283336	-0.296289 - -0.128279	< -0.872897	-0.869476 - -0.557685
Ribo	YGR118W	-3.84266 - -3.55524	0.352621 - 1.22464	0.125754 - 0.608969	-1.99724 - -1.00746	-2.60633 - -1.6315	-0.0670098 - 0.370891	≥ 2.10432	-1.02478 - -0.659428	-0.333791 - -0.103436	-0.24581 - -0.0742138	≥ 1.27537	0.0512376 - 0.308063	-0.128749 - 0.200137	0.270683 - 0.489747	0.15896 - 0.33614	-0.444354 - -0.282942	-0.405256 - -0.174611	0.0347436 - 0.17113	-0.0444716 - 0.0936803	0.528279 - 0.935366	0.0432133 - 0.198076	-0.613833 - -0.383712	0.160593 - 0.351944	0.529312 - 0.846813	-0.371889 - -0.206293
Ribo	YGR148C	-3.55524 - -3.10837	-0.789981 - -0.323711	0.125754 - 0.608969	-2.93219 - -1.99724	-1.6315 - -1.2472	-0.0670098 - 0.370891	0.253326 - 0.559976	-1.02478 - -0.659428	0.141737 - 0.492027	-0.0742138 - 0.215548	0.812305 - 1.27537	-1.3658 - -0.794636	-0.128749 - 0.200137	-0.24542 - -0.0386652	0.707889 - 1.0854	-0.282942 - -0.067954	-0.622271 - -0.405256	0.367606 - 0.588167	-0.37434 - -0.193563	0.528279 - 0.935366	-0.947849 - -0.587246	0.207664 - 0.283336	0.160593 - 0.351944	-0.0669247 - 0.0601571	-0.869476 - -0.557685
Ribo	YML063W	-3.55524 - -3.10837	0.352621 - 1.22464	-0.382426 - 0.125754	-1.99724 - -1.00746	-1.6315 - -1.2472	0.370891 - 0.917994	0.253326 - 0.559976	-0.0103348 - 0.237892	-0.333791 - -0.103436	-0.869533 - -0.573237	0.524226 - 0.812305	0.805687 - 1.34529	-0.496845 - -0.347348	0.270683 - 0.489747	0.15896 - 0.33614	-0.762285 - -0.444354	-0.174611 - -0.0273938	-0.33811 - -0.1104	-0.620673 - -0.37434	-0.0953163 - 0.0342379	-0.0792995 - 0.0432133	0.0525043 - 0.207664	0.0549996 - 0.160593	-0.0669247 - 0.0601571	-0.371889 - -0.206293
